datetime	t	rh	u	vw_dir	p
20120911T030000	2.86	95	3.92	23.34	0
20120911T040000	2.65	95	4.25	22.52	0
20120911T050000	2.35	95	3.71	19.46	0
20120911T060000	1.89	95	3.14	15.61	0
20120911T070000	1.92	95	2.78	21.86	0
20120911T080000	2	95	3.12	38.43	0
20120911T090000	2.39	95	2.95	46.52	0
20120911T100000	2.82	95	3.64	44.3	0
20120911T110000	3.41	95	3.39	45.56	0
20120911T120000	3.84	95	3.5	32.67	0
20120911T130000	4.42	89.1	3.73	23.7	0
20120911T140000	4.42	88.7	3.6	24.48	0
20120911T150000	4.57	89	3.27	42.14	0
20120911T160000	4.08	95	3.42	18.88	0
20120911T170000	4.04	95	3.16	21.37	0
20120911T180000	4.06	95	3.62	17.74	0
20120911T190000	3.59	95	2.98	180.51	0
20120911T200000	3.18	95	2.66	180.34	0
20120911T210000	2.8	95	2.42	7.54	0
20120911T220000	2.14	95	2.29	353.75	0
20120911T230000	2.76	95	2.82	87.35	0
20120912T000000	2.06	95	1.89	125.05	0
20120912T010000	1.75	95	0.73	136.75	0
20120912T020000	1.71	95	0.45	126.25	0
20120912T030000	1.3	95	0.49	56.61	0
20120912T040000	0.46	95	0.58	312.75	0
20120912T050000	0.77	95	0.34	23.66	0
20120912T060000	0.79	95	0.06	80.84	0
20120912T070000	0.79	95	0.03	125.6	0
20120912T080000	0.67	95	0.37	80.47	0
20120912T090000	0.5	95	0.99	320	0
20120912T100000	0.85	95	0.97	316.45	0
20120912T110000	1.72	95	0.96	332.75	0
20120912T120000	2.09	95	1.02	27.36	0
20120912T130000	2.73	95	0.86	56.89	0
20120912T140000	3.17	95	1.91	47.73	0
20120912T150000	3.46	95	2.16	39.69	0
20120912T160000	3.71	95	1.85	46.82	0
20120912T170000	3.62	95	2.1	27.1	0
20120912T180000	3.38	95	2.09	178.45	0
20120912T190000	3.11	95	1.85	335.6	0
20120912T200000	2.1	95	2.35	336.95	0
20120912T210000	0.79	95	2.21	322.25	0.64
20120912T220000	0.78	95	2.46	322	0
20120912T230000	0.71	95	2.26	310.35	0
20120913T000000	0.7	95	1.86	297.4	0
20120913T010000	0.93	95	2.84	292.3	0
20120913T020000	0.93	95	2.73	296.55	0.62
20120913T030000	1.09	95	1.96	307.6	0
20120913T040000	0.12	95	2.47	280.9	0
20120913T050000	-0.05	95	2.94	285.05	0.59
20120913T060000	0.66	95	2.46	283.5	0.4
20120913T070000	0.21	95	2.33	265.85	0
20120913T080000	-0.12	95	2.11	254.25	0.34
20120913T090000	0.78	95	2.62	253.65	0
20120913T100000	1.8	95	3.3	254.95	0
20120913T110000	2.91	95	4.4	269.25	0.42
20120913T120000	3.91	95	5.05	258.6	0
20120913T130000	4.54	94.85	4.82	272.15	0
20120913T140000	5.29	87.5	4.99	281	0
20120913T150000	4.17	95	5.4	276.6	0
20120913T160000	4.3	92.9	5.57	280.5	0
20120913T170000	3.12	95	4.63	280.55	0
20120913T180000	3.44	95	3.47	293.05	0
20120913T190000	3.5	95	2.54	295.75	0
20120913T200000	2.11	95	1.63	267.35	0
20120913T210000	0.55	95	1.85	254.6	0
20120913T220000	-0.89	95	2.12	258.05	0
20120913T230000	-0.97	95	2.2	258.05	0
20120914T000000	-0.61	95	1.83	255.05	0
20120914T010000	-0.52	95	1.79	242.6	0
20120914T020000	0.16	95	1.71	212.5	0
20120914T030000	0.69	95	1.9	213.3	0
20120914T040000	0.24	95	1.1	201.8	0
20120914T050000	-0.36	95	1.3	199.75	0
20120914T060000	-0.65	95	0.96	190.8	0
20120914T070000	0.07	95	0.83	198.85	0
20120914T080000	0.36	95	0.76	146.85	0
20120914T090000	1.02	95	2	186.75	0
20120914T100000	2.26	95	2.47	182.4	0
20120914T110000	3.41	95	3	177.6	0
20120914T120000	4.13	93.95	3.18	173.15	0
20120914T130000	6.44	81.5	4.81	182.6	0
20120914T140000	6.7	74.35	5	208.65	0
20120914T150000	6.47	77.15	4.18	221.05	0
20120914T160000	7.31	69.27	4.62	225.4	0
20120914T170000	6.31	73.65	3.41	222.45	0
20120914T180000	6.18	75.45	2.25	242.4	0
20120914T190000	5.42	79.85	2.62	259	0
20120914T200000	4.12	92.05	1.63	272	0
20120914T210000	3.05	95	2.1	317.05	0
20120914T220000	2.5	95	0.47	268.8	0
20120914T230000	2.22	95	0.5	238.55	0
20120915T000000	2.01	95	0.77	245.75	0
20120915T010000	2	95	1.08	240.05	0.47
20120915T020000	1.52	95	1.42	254.35	0
20120915T030000	0.09	95	1.78	253.4	0
20120915T040000	-0.92	95	1.94	260.6	0
20120915T050000	-1.29	95	2.42	258.75	0
20120915T060000	-1.04	95	2.5	257.35	0
20120915T070000	-0.84	95	2.83	248.1	0.6
20120915T080000	1.25	95	2.79	227.3	0
20120915T090000	2.55	95	2.48	213.25	0
20120915T100000	3.13	95	2.26	214.25	0
20120915T110000	3.74	95	2.33	171.1	0
20120915T120000	6.51	81.2	3.15	163.3	0
20120915T130000	7.9	66.59	4	164.75	0
20120915T140000	8.9	64.21	4.45	167.4	0
20120915T150000	10.07	59.23	4.53	170.3	0
20120915T160000	10.55	56.72	4.66	155.35	0
20120915T170000	10.84	57.08	4.85	163.1	0
20120915T180000	9.8	63.02	3.97	164.5	0
20120915T190000	8.54	70.32	3.46	156.85	0
20120915T200000	7.11	76.35	3.21	161.25	0
20120915T210000	6.04	78.75	4.14	154.75	0
20120915T220000	5.28	81.35	4.05	170.9	0
20120915T230000	4.54	84.75	3.04	174.4	0
20120916T000000	4.91	85.1	4.09	179.5	0
20120916T010000	5.62	85.05	4.59	185.2	0
20120916T020000	5	88.2	3.45	180.3	0
20120916T030000	4.15	91.1	2.08	164.05	0
20120916T040000	4.05	91.5	1.59	64.5	0
20120916T050000	4.02	91.1	1.04	144.2	0
20120916T060000	2.63	95	1.65	134.75	0
20120916T070000	3.02	94.15	1.49	163.25	0
20120916T080000	3.43	94.05	1.29	171	0
20120916T090000	4.22	92.7	1.44	99.75	0
20120916T100000	6.63	82.55	1.73	134.35	0
20120916T110000	8.7	73.35	2.37	154.55	0
20120916T120000	9.58	69.25	2.49	163.3	0.9
20120916T130000	10.47	66.18	2.84	151.1	0
20120916T140000	11.87	61.38	3.4	155.4	0.51
20120916T150000	12.89	57.12	3.75	160.25	0
20120916T160000	13.25	58.46	3.91	138.55	0
20120916T170000	13.32	62.22	3.52	115.55	0
20120916T180000	13.6	59.91	3.83	148.25	0.81
20120916T190000	12.75	60.63	4.55	156.2	0.47
20120916T200000	11.53	66.92	4.44	154.7	0.47
20120916T210000	10.84	66.34	5.01	149.15	0
20120916T220000	10.09	69.92	5.48	153.4	1.24
20120916T230000	10	71.8	5.23	160.55	0
20120917T000000	9.07	75.7	4.45	165.6	0
20120917T010000	8.89	75.1	4.9	162.45	0
20120917T020000	8.47	76.65	3.71	162.05	0.98
20120917T030000	8.66	75.9	4.02	158.6	1.93
20120917T040000	8.49	76.75	4.38	152.45	1.93
20120917T050000	8.93	75.65	5.71	178.45	0
20120917T060000	8.56	83.4	8.25	209	1.58
20120917T070000	7.37	95	6.55	227.9	3.13
20120917T080000	7.4	95	4.69	211.1	2.23
20120917T090000	7.91	95	6.36	204.5	2.74
20120917T100000	8.68	95	7.26	204.1	1.67
20120917T110000	11.14	89.15	7.6	215.2	3.17
20120917T120000	12.75	73.25	8.89	223.85	1.63
20120917T130000	14.42	60.22	8.62	242.75	1.84
20120917T140000	15.26	46.97	8.76	268.75	3.81
20120917T150000	15.32	44.78	9.89	257.5	1.63
20120917T160000	14.46	47.28	9.09	254.3	2.7
20120917T170000	12.25	56.54	6.43	248.4	1.28
20120917T180000	12.04	57.83	8.68	253.3	2.95
20120917T190000	11.83	54.75	8.39	244.55	1.84
20120917T200000	10.31	57.8	7.36	248.3	1.37
20120917T210000	9.21	58.75	6.77	238.15	0.69
20120917T220000	7.61	63.77	5.51	247.95	1.28
20120917T230000	7.84	60.66	6.21	252.05	0.51
20120918T000000	8.44	56.3	8.67	257.8	1.46
20120918T010000	8.08	57.52	8.05	252.5	1.37
20120918T020000	7.1	63.48	6.94	248.55	1.37
20120918T030000	6.87	66.77	5.87	253.75	0
20120918T040000	7.69	62.19	8.02	277.75	1.37
20120918T050000	7.05	60.38	7.66	281.7	0
20120918T060000	5.79	64.76	6.84	275.6	0.86
20120918T070000	3.91	72.95	3.19	265.85	1.07
20120918T080000	2.92	76.95	1.17	243.95	0.86
20120918T090000	5.21	66.51	1.85	242.5	0
20120918T100000	7.52	58.55	4.06	236.85	0.9
20120918T110000	9.45	50.95	3.92	215.7	0
20120918T120000	10.51	44.05	5.3	245.25	0.6
20120918T130000	11.23	40.02	5.92	257.15	0.43
20120918T140000	11.82	39.16	4.96	213.8	0
20120918T150000	12.16	38.81	5.3	190.25	0
20120918T160000	12.66	35	4.29	213.85	0
20120918T170000	12.48	35.86	4.56	206.9	0
20120918T180000	11.05	40.03	4.09	204.45	0
20120918T190000	9.04	51.36	3.24	191.3	0.5
20120918T200000	7.67	58.89	2.87	194.75	0
20120918T210000	7.71	62.69	2.97	205.85	0
20120918T220000	7.67	65.93	2.8	212.2	0
20120918T230000	8.12	63.09	2.15	254.3	0
20120919T000000	7.98	64.3	2.21	239.85	0
20120919T010000	7.84	66.19	3.34	223.15	0
20120919T020000	6.42	72.75	3.47	209.25	0
20120919T030000	5.96	74.6	1.84	250.35	0.53
20120919T040000	7.42	67.95	4.45	225.4	0
20120919T050000	5.04	77.55	3.61	206.5	0
20120919T060000	7.12	68.47	5.61	223.5	0
20120919T070000	6.93	71.2	6.23	216.8	0.31
20120919T080000	6.32	74.1	4.58	225.1	0
20120919T090000	7.14	71.28	2.76	237.95	0.38
20120919T100000	9.21	65.61	3.27	240.95	0
20120919T110000	10.84	60.94	6.03	265.45	0
20120919T120000	11.11	60.32	6.11	280.55	0
20120919T130000	11.48	59.89	5.78	290.5	0
20120919T140000	11.7	58.04	5.89	294.9	0
20120919T150000	11.96	56.98	3.6	303.4	0
20120919T160000	12.2	55.89	2.58	314.35	0
20120919T170000	12.28	54.53	1.03	333.65	0
20120919T180000	10.65	64.58	1.81	88.86	0
20120919T190000	8.75	75.4	1.84	78.35	0
20120919T200000	7.36	83.45	1.82	91.35	0
20120919T210000	7.01	84.65	1.24	110.25	0
20120919T220000	7.39	82.3	1.4	100.1	0
20120919T230000	6.75	86.9	1.5	89.35	0
20120920T000000	7.76	80.8	2.02	128.35	0.58
20120920T010000	7.49	84.2	1.5	87.7	0.47
20120920T020000	7.42	88.55	2	92.75	0
20120920T030000	7.53	91.2	1.55	99.25	0
20120920T040000	7.47	91.35	1.36	74.9	0
20120920T050000	7.78	86.8	1.79	74.89	0.73
20120920T060000	8.71	78.8	2.19	69.12	0
20120920T070000	8.81	75.3	0.8	151.65	0.51
20120920T080000	8.82	73.45	1.11	135.15	0
20120920T090000	9.19	72.5	2.33	211.95	0
20120920T100000	9.63	71.75	4.67	244.1	0.77
20120920T110000	12	64.94	5.77	237.25	0
20120920T120000	14.87	57.19	4.97	248.6	0
20120920T130000	16.69	53.91	5.01	237.1	0
20120920T140000	17.77	51.35	5.79	250.55	0.51
20120920T150000	17.71	52.03	4.89	289.9	0
20120920T160000	17.61	51.61	5.44	285.15	0.86
20120920T170000	16.6	53.96	5.31	299	0.9
20120920T180000	15.41	58.45	4.01	315.55	0
20120920T190000	13.16	66.01	2.08	297.55	0
20120920T200000	10.37	76	1.32	290.95	0.83
20120920T210000	7.29	88.45	1.42	273.5	0
20120920T220000	5.75	94.15	0.81	254.15	0
20120920T230000	6.18	94.75	0.8	215.45	0
20120921T000000	7.77	89.15	1.03	141.45	0
20120921T010000	8.01	89.85	0.92	103	0
20120921T020000	7.96	92.05	1.23	96.55	0
20120921T030000	7.62	95	0.91	98.85	0
20120921T040000	7.88	95	1.54	77.6	0
20120921T050000	7.5	95	1.19	54.53	0
20120921T060000	7.7	95	1.92	29.07	0
20120921T070000	6.71	95	2.16	33.26	0
20120921T080000	6.5	95	0.71	162.9	0
20120921T090000	6.79	95	0.12	258.75	0
20120921T100000	8.1	95	0.69	264.75	0
20120921T110000	11.22	84	0.48	181.35	0
20120921T120000	12.38	80	1.15	123.35	0
20120921T130000	15.09	69.1	2.71	180.4	0
20120921T140000	14.86	69.15	5.04	224.95	0
20120921T150000	14.72	70.11	8.11	219.25	0
20120921T160000	16.83	62.99	7.34	238.6	0
20120921T170000	17.91	56.88	7.19	265.95	0
20120921T180000	17.56	47.92	7.87	260.35	0.3
20120921T190000	15.29	56.38	8.56	275.55	0
20120921T200000	8.69	84.05	8.91	295.6	0
20120921T210000	7.19	90.55	8.97	293.55	0
20120921T220000	6.71	94.5	8.29	302.8	0
20120921T230000	6.07	95	6.88	313.65	0
20120922T000000	5.53	95	5.99	315.75	0
20120922T010000	5.22	95	4.87	313.95	0
20120922T020000	5.11	95	4.51	321.65	0
20120922T030000	3.78	95	2.42	285.55	0
20120922T040000	2.42	95	2.23	254.8	0
20120922T050000	3.62	95	1.32	275.2	0
20120922T060000	3.84	95	0.89	227.05	0
20120922T070000	3.71	95	0.95	109.31	0
20120922T080000	3.98	95	1.31	146	0
20120922T090000	4.03	95	2.9	154.85	0
20120922T100000	4.04	95	4.16	150.15	0
20120922T110000	4.61	95	4.14	149.5	0
