yr 	   mo dy hr 	z     x		y				tdef	tair    rh         wspd   wdir      prec    
 2012  9  6 16.00   149  560599.0 7626795.2    91.0    13.38    59.70     7.54   258.65     0.00
 2012  9  6 17.00   149  560599.0 7626795.2    91.0    13.21    60.27     7.35   261.60     0.00
 2012  9  6 18.00   149  560599.0 7626795.2    91.0    13.20    59.45     6.30   262.60     0.00
 2012  9  6 19.00   149  560599.0 7626795.2    91.0    12.96    58.37     6.24   249.80     0.00
 2012  9  6 20.00   149  560599.0 7626795.2    91.0    11.26    62.05     5.67   256.55     0.00
 2012  9  6 21.00   149  560599.0 7626795.2    91.0    10.59    63.83     5.58   240.30     0.00
 2012  9  6 22.00   149  560599.0 7626795.2    91.0    10.43    61.93     6.63   244.50     0.00
 2012  9  6 23.00   149  560599.0 7626795.2    91.0     9.80    65.47     6.63   239.10     0.00
 2012  9  7  0.00   149  560599.0 7626795.2    91.0     9.91    63.95     6.83   241.75     0.00
 2012  9  7  1.00   149  560599.0 7626795.2    91.0     9.86    63.99     7.15   265.60     0.00
 2012  9  7  2.00   149  560599.0 7626795.2    91.0     9.43    66.58     6.24   264.95     0.00
 2012  9  7  3.00   149  560599.0 7626795.2    91.0     8.81    69.16     6.78   269.05     0.00
 2012  9  7  4.00   149  560599.0 7626795.2    91.0     7.52    78.70     4.26   255.70     0.00
 2012  9  7  5.00   149  560599.0 7626795.2    91.0     8.27    78.40     8.21   274.60     0.00
 2012  9  7  6.00   149  560599.0 7626795.2    91.0     4.63    95.00     5.25   317.35     0.00
 2012  9  7  7.00   149  560599.0 7626795.2    91.0     3.79    95.00     3.62   298.95     0.00
 2012  9  7  8.00   149  560599.0 7626795.2    91.0     3.54    95.00     3.83   278.85     0.00
 2012  9  7  9.00   149  560599.0 7626795.2    91.0     3.83    95.00     4.06   281.55     0.00
 2012  9  7 10.00   149  560599.0 7626795.2    91.0     3.99    95.00     4.85   292.35     0.00
 2012  9  7 11.00   149  560599.0 7626795.2    91.0     4.24    95.00     5.55   290.75     0.00
 2012  9  7 12.00   149  560599.0 7626795.2    91.0     4.90    95.00     5.76   290.15     0.00
 2012  9  7 13.00   149  560599.0 7626795.2    91.0     4.77    95.00     6.32   296.10     0.00
 2012  9  7 14.00   149  560599.0 7626795.2    91.0     4.88    94.80     6.99   283.10     0.00
 2012  9  7 15.00   149  560599.0 7626795.2    91.0     5.99    84.55     7.07   284.10     0.00
 2012  9  7 16.00   149  560599.0 7626795.2    91.0     6.70    75.50     8.07   292.95     0.00
 2012  9  7 17.00   149  560599.0 7626795.2    91.0     6.16    77.30     7.89   300.80     0.00
 2012  9  7 18.00   149  560599.0 7626795.2    91.0     5.59    79.60     6.73   292.40     0.00
 2012  9  7 19.00   149  560599.0 7626795.2    91.0     5.27    81.80     6.21   294.75     0.00
 2012  9  7 20.00   149  560599.0 7626795.2    91.0     4.60    86.70     5.34   297.20     0.00
 2012  9  7 21.00   149  560599.0 7626795.2    91.0     4.13    89.55     4.71   287.55     0.00
 2012  9  7 22.00   149  560599.0 7626795.2    91.0     3.76    88.15     5.00   290.45     0.00
 2012  9  7 23.00   149  560599.0 7626795.2    91.0     3.35    89.95     5.29   291.35     0.21
 2012  9  8  0.00   149  560599.0 7626795.2    91.0     3.04    91.50     4.83   284.70     0.00
 2012  9  8  1.00   149  560599.0 7626795.2    91.0     2.75    92.05     4.58   284.70     0.20
 2012  9  8  2.00   149  560599.0 7626795.2    91.0     2.61    94.20     4.65   287.50     0.00
 2012  9  8  3.00   149  560599.0 7626795.2    91.0     2.64    92.50     5.28   285.85     0.00
 2012  9  8  4.00   149  560599.0 7626795.2    91.0     2.46    92.35     5.56   283.65     0.26
 2012  9  8  5.00   149  560599.0 7626795.2    91.0     2.13    94.60     5.17   284.10     0.32
 2012  9  8  6.00   149  560599.0 7626795.2    91.0     2.04    94.00     4.75   284.00     0.00
 2012  9  8  7.00   149  560599.0 7626795.2    91.0     1.61    94.00     5.36   288.50     0.00
 2012  9  8  8.00   149  560599.0 7626795.2    91.0     1.38    95.00     5.17   281.40     0.18
 2012  9  8  9.00   149  560599.0 7626795.2    91.0     2.48    93.85     5.96   284.20     0.00
 2012  9  8 10.00   149  560599.0 7626795.2    91.0     3.00    91.95     6.22   290.05     0.00
 2012  9  8 11.00   149  560599.0 7626795.2    91.0     3.54    85.90     6.35   297.55     0.00
 2012  9  8 12.00   149  560599.0 7626795.2    91.0     3.80    83.70     6.64   296.50     0.00
 2012  9  8 13.00   149  560599.0 7626795.2    91.0     4.50    76.20     6.91   293.35     0.00
 2012  9  8 14.00   149  560599.0 7626795.2    91.0     4.36    75.90     7.03   296.20     0.19
 2012  9  8 15.00   149  560599.0 7626795.2    91.0     4.42    74.90     6.72   296.20     0.00
 2012  9  8 16.00   149  560599.0 7626795.2    91.0     4.58    73.35     6.75   302.65     0.00
 2012  9  8 17.00   149  560599.0 7626795.2    91.0     4.24    74.45     6.75   307.50     0.00
